country_code,country_name,adjcov_year,adjcov_pct,source,note
AT,Austria,2019,98.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
BE,Belgium,2019,100.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
BG,Bulgaria,2018,27.8,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
CY,Cyprus,2019,36.6,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
CZ,Czechia,2019,45.9,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
DE,Germany,2019,52.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
DK,Denmark,2018,82.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
EE,Estonia,2015,18.6,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
EL,Greece,2017,13.1,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
ES,Spain,2018,80.1,"OECD and AIAS (2021 vintage), via Eurofound Working Life Country Profile: Spain (published Nov 2024)","Not present in ICTWSS v2.0 AdjCov/AdjCov_hist export (data revision dropped pre-2021 Spain rows); cross-check: Eurostat SES 2018 = 91.0%."
FI,Finland,2017,88.8,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
FR,France,2019,98.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
HR,Croatia,2014,52.7,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
HU,Hungary,2019,20.9,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
IE,Ireland,2017,34.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
IT,Italy,2019,100.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
LT,Lithuania,2019,23.2,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
LU,Luxembourg,2018,56.9,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
LV,Latvia,2018,27.0,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
MT,Malta,2008,52.4,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
NL,Netherlands,2019,70.7,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
PL,Poland,2019,12.4,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
PT,Portugal,2019,85.1,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
RO,Romania,2019,48.4,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
SE,Sweden,2019,88.7,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
SI,Slovenia,2016,83.1,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
SK,Slovak Republic,2015,24.4,"OECD/AIAS ICTWSS v2.0 (Sept 2025), AdjCov_hist",
