employee_id,country_code,worker_category_id,gender,employment_type,hire_date,termination_date,snapshot_date,employment_status
emp-0347,FR,sales_gtm,male,full_time,2020-01-15,,2025-12-31,active
emp-0132,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0038,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0300,FR,hr_generalist,female,full_time,2020-01-15,,2025-12-31,active
emp-0076,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0330,FR,finance_legal,male,full_time,2020-01-15,,2025-12-31,active
emp-0312,FR,finance_legal,female,full_time,2020-01-15,,2025-12-31,active
emp-0348,FR,sales_gtm,male,full_time,2020-01-15,,2025-12-31,active
emp-0003,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0131,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0034,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0315,FR,finance_legal,female,full_time,2020-01-15,,2025-12-31,active
emp-0263,FR,product_design,female,full_time,2020-01-15,,2025-12-31,active
emp-0137,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0049,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0287,FR,hr_generalist,female,full_time,2020-01-15,,2025-12-31,active
emp-0281,FR,product_design,male,full_time,2020-01-15,,2025-12-31,active
emp-0023,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0267,FR,product_design,female,full_time,2020-01-15,,2025-12-31,active
emp-0194,FR,eng_senior,female,full_time,2020-01-15,,2025-12-31,active
emp-0087,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0108,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0056,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0205,FR,eng_senior,male,full_time,2020-01-15,,2025-12-31,active
emp-0253,FR,product_design,female,full_time,2020-01-15,,2025-12-31,active
emp-0050,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0135,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0325,FR,finance_legal,male,full_time,2020-01-15,,2025-12-31,active
emp-0171,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0297,FR,hr_generalist,female,full_time,2020-01-15,,2025-12-31,active
emp-0097,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0260,FR,product_design,female,full_time,2020-01-15,,2025-12-31,active
emp-0319,FR,finance_legal,female,full_time,2020-01-15,,2025-12-31,active
emp-0193,FR,eng_senior,female,full_time,2020-01-15,,2025-12-31,active
emp-0331,FR,sales_gtm,female,full_time,2020-01-15,,2025-12-31,active
emp-0096,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0242,FR,eng_senior,male,full_time,2020-01-15,,2025-12-31,active
emp-0317,FR,finance_legal,female,full_time,2020-01-15,,2025-12-31,active
emp-0309,FR,hr_generalist,male,full_time,2020-01-15,,2025-12-31,active
emp-0204,FR,eng_senior,male,full_time,2020-01-15,,2025-12-31,active
emp-0201,FR,eng_senior,male,full_time,2020-01-15,,2025-12-31,active
emp-0106,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0184,FR,eng_senior,female,full_time,2020-01-15,,2025-12-31,active
emp-0214,FR,eng_senior,male,full_time,2020-01-15,,2025-12-31,active
emp-0165,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0013,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0090,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0147,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0036,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0169,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0158,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0136,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0180,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0082,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0018,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0172,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0102,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0338,FR,sales_gtm,female,full_time,2020-01-15,,2025-12-31,active
emp-0046,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
emp-0154,FR,eng_ic,male,full_time,2020-01-15,,2025-12-31,active
emp-0010,FR,eng_ic,female,full_time,2020-01-15,,2025-12-31,active
