country_code,country_name,sector_name,year,gender_pay_gap,vacancy_rate
AT,Austria,Accommodation and food service activities,2019,8.0,6.175000000000001
AT,Austria,Accommodation and food service activities,2020,7.4,4.425
AT,Austria,Accommodation and food service activities,2021,10.1,7.450000000000001
AT,Austria,Accommodation and food service activities,2022,8.0,10.075
AT,Austria,Accommodation and food service activities,2023,7.8,7.925
AT,Austria,Accommodation and food service activities,2024,7.2,6.824999999999999
AT,Austria,Accommodation and food service activities,2025,,5.449999999999999
AT,Austria,Administrative and support service activities,2019,17.3,6.15
AT,Austria,Administrative and support service activities,2020,17.0,4.975
AT,Austria,Administrative and support service activities,2021,17.2,5.475
AT,Austria,Administrative and support service activities,2022,18.2,8.450000000000001
AT,Austria,Administrative and support service activities,2023,18.6,8.15
AT,Austria,Administrative and support service activities,2024,18.6,7.35
AT,Austria,Administrative and support service activities,2025,,5.700000000000001
AT,Austria,"Arts, entertainment and recreation",2019,19.9,1.8250000000000002
AT,Austria,"Arts, entertainment and recreation",2020,20.1,3.25
AT,Austria,"Arts, entertainment and recreation",2021,23.0,2.675
AT,Austria,"Arts, entertainment and recreation",2022,23.3,4.7250000000000005
AT,Austria,"Arts, entertainment and recreation",2023,23.6,2.6
AT,Austria,"Arts, entertainment and recreation",2024,22.7,2.7750000000000004
AT,Austria,"Arts, entertainment and recreation",2025,,1.7999999999999998
AT,Austria,"Arts, entertainment and recreation; other service activities",2019,,2.35
AT,Austria,"Arts, entertainment and recreation; other service activities",2020,,2.175
AT,Austria,"Arts, entertainment and recreation; other service activities",2021,,2.45
AT,Austria,"Arts, entertainment and recreation; other service activities",2022,,4.4
AT,Austria,"Arts, entertainment and recreation; other service activities",2023,,3.5250000000000004
AT,Austria,"Arts, entertainment and recreation; other service activities",2024,,3.075
AT,Austria,"Arts, entertainment and recreation; other service activities",2025,,2.425
AT,Austria,Business economy,2019,21.7,4.075
AT,Austria,Business economy,2020,21.0,3.325
AT,Austria,Business economy,2021,21.0,4.75
AT,Austria,Business economy,2022,20.5,6.45
AT,Austria,Business economy,2023,20.2,5.574999999999999
AT,Austria,Business economy,2024,19.7,4.6
AT,Austria,Business economy,2025,,3.9
AT,Austria,Construction,2019,8.3,6.199999999999999
AT,Austria,Construction,2020,8.1,5.25
AT,Austria,Construction,2021,8.0,6.875
AT,Austria,Construction,2022,7.7,7.475
AT,Austria,Construction,2023,7.4,6.325
AT,Austria,Construction,2024,7.4,5.8
AT,Austria,Construction,2025,,4.824999999999999
AT,Austria,Education,2019,23.5,1.45
AT,Austria,Education,2020,23.4,1.25
AT,Austria,Education,2021,23.2,1.45
AT,Austria,Education,2022,22.8,2.0
AT,Austria,Education,2023,22.2,2.5999999999999996
AT,Austria,Education,2024,21.3,1.925
AT,Austria,Education,2025,,1.125
AT,Austria,"Electricity, gas, steam and air conditioning supply",2019,14.7,1.125
