country_code,mean_employment_rate,mean_gender_pay_gap,mean_hpi,mean_ers
NL,82.39999999999999,12.783333333333333,100.0,56.0
SI,76.97142857142856,5.6499999999999995,99.0,42.0
DE,80.24285714285713,16.783333333333335,98.0,81.0
CZ,81.17142857142858,17.45,93.0,99.0
HU,79.62857142857142,16.28333333333333,88.0,90.0
PL,76.10000000000001,6.0,82.0,23.0
BG,75.17142857142858,12.283333333333333,81.0,63.0
LT,78.42857142857143,10.65,78.0,52.0
LV,77.08571428571429,16.933333333333334,76.0,71.0
EE,80.91428571428571,19.0,69.0,0.0
PT,76.85714285714286,,69.0,0.0
HR,70.12857142857142,7.933333333333334,68.0,32.0
IE,77.04285714285713,9.083333333333334,65.0,44.0
CY,78.15714285714286,11.633333333333333,57.0,68.0
SE,81.51428571428572,10.683333333333332,56.0,58.0
AT,76.67142857142858,,56.0,0.0
DK,79.28571428571429,13.533333333333333,55.0,74.0
LU,73.81428571428572,-0.3833333333333333,54.0,0.0
IT,64.84285714285714,5.283333333333333,50.0,34.0
BE,71.41428571428571,,47.0,0.0
SK,76.45714285714284,16.05,45.0,83.0
MT,79.58571428571429,,44.0,0.0
FI,76.91428571428571,16.233333333333334,44.0,87.0
FR,73.77142857142857,13.700000000000001,42.0,67.0
RO,67.58571428571429,1.45,42.0,18.0
ES,69.25714285714285,8.200000000000001,38.0,39.0
EL,65.1,,24.0,0.0
