sector,mean_difference,t_stat,p_value,p_adj_bonferroni,significant_vs_finance
Construction,27.673950902417793,25.87345467082454,6.483133146841788e-72,1.1021326349631039e-70,True
"Water supply; sewerage, waste management and remediation activities",25.23479152426521,22.338182802371445,1.1666176083822526e-59,1.9832499342498295e-58,True
Transportation and storage,21.16883116883117,24.076174806150906,9.652336492071403e-71,1.6408972036521385e-69,True
Mining and quarrying,18.011925236925237,17.77709247770478,4.70522970540235e-46,7.998890499183995e-45,True
Administrative and support service activities,17.52272727272727,18.146230161624445,2.0616003529274073e-48,3.5047205999765924e-47,True
Public administration and defence; compulsory social security,16.884415584415585,23.755194282129434,7.298692268289305e-69,1.2407776856091819e-67,True
"Electricity, gas, steam and air conditioning supply",16.476970916407534,20.08959825427233,2.077939881875642e-56,3.532497799188592e-55,True
Accommodation and food service activities,15.735714285714284,24.772961739725133,1.2389838205207009e-70,2.1062724948851915e-69,True
Education,15.010389610389609,21.28997070894876,6.450899308483831e-62,1.0966528824422513e-60,True
Real estate activities,13.486363636363635,15.986951823030614,7.790521348380921e-42,1.3243886292247566e-40,True
Other service activities,12.118831168831166,14.124551509289393,7.480255587684891e-35,1.2716434499064314e-33,True
"Professional, scientific and technical activities",8.647402597402596,11.041133814376728,4.626976965058108e-24,7.865860840598783e-23,True
"Arts, entertainment and recreation",8.407142857142855,6.907188726923417,5.158975309442338e-11,8.770258026051974e-10,True
Manufacturing,8.208441558441553,10.513071953911973,2.928906445823712e-22,4.97914095790031e-21,True
Human health and social work activities,7.887662337662338,9.044488365966034,2.2991043566776114e-17,3.9084774063519395e-16,True
Wholesale and retail trade; repair of motor vehicles and motorcycles,6.721428571428568,9.532311692401825,5.500070925305523e-19,9.35012057301939e-18,True
Information and communication,5.49220779220779,7.258913017738705,3.2390184603715342e-12,5.506331382631608e-11,True
